          3.040	  0.926	 -0.105	 -0.029	-19.052	 -5.148	 13.512
          3.050	  0.923	 -0.050	 -0.029	-21.110	 -5.169	 12.139
          3.060	  0.923	 -0.035	 -0.026	-22.774	 -5.244	 10.792
          3.070	  0.929	 -0.006	 -0.018	-23.431	 -5.542	  9.816
          3.080	  0.938	  0.015	  0.015	-22.858	 -5.800	  9.088
          3.090	  0.949	  0.050	  0.029	-21.694	 -5.664	  8.691
          3.100	  0.952	  0.062	  0.044	-19.873	 -5.773	  8.288
          3.110	  0.946	  0.064	  0.053	-17.190	 -6.994	  7.897
          3.120	  0.938	  0.070	  0.064	-13.441	 -8.324	  7.392
          3.130	  0.932	  0.070	  0.062	 -9.723	 -8.744	  6.806
          3.140	  0.914	  0.059	  0.056	 -6.085	 -8.547	  5.884
          3.150	  0.905	  0.050	  0.062	 -2.691	 -7.584	  4.693
          3.160	  0.894	  0.035	  0.059	 -0.221	 -5.881	  3.400
          3.170	  0.894	  0.029	  0.056	  1.809	 -3.385	  2.364
          3.180	  0.894	  0.012	  0.056	  3.802	 -0.360	  1.536
          3.190	  0.896	  0.000	  0.053	  5.508	  3.100	  0.666
          3.200	  0.896	 -0.023	  0.062	  6.699	  7.638	  0.068
          3.210	  0.891	 -0.038	  0.091	  7.684	 11.762	 -0.128
          3.220	  0.896	 -0.044	  0.103	  9.097	 14.150	  0.088
          3.230	  0.926	 -0.053	  0.100	 10.822	 15.547	  0.734
          3.240	  0.943	 -0.059	  0.085	 11.765	 16.293	  1.481
          3.250	  0.999	 -0.056	  0.064	 11.952	 17.148	  1.993
          3.260	  1.028	 -0.053	  0.053	 11.715	 18.580	  2.397
          3.270	  1.087	 -0.044	  0.059	 11.704	 18.899	  2.889
          3.280	  1.113	 -0.038	  0.070	 11.765	 18.891	  3.218
          3.290	  1.128	 -0.038	  0.097	 11.089	 17.718	  2.889
          3.300	  1.128	 -0.038	  0.123	  8.303	 14.788	  2.040
          3.310	  1.128	 -0.029	  0.108	  2.581	 12.970	  0.922
          3.320	  1.143	 -0.023	  0.044	 -5.829	 15.472	  0.459
          3.330	  1.178	 -0.026	  0.026	-13.613	 19.108	  1.259
          3.340	  1.225	 -0.064	  0.026	-18.766	 19.977	  3.258
          3.350	  1.228	 -0.073	  0.018	-21.751	 17.840	  6.503
          3.360	  1.286	 -0.047	 -0.073	-25.225	 16.605	 10.974
          3.370	  1.324	 -0.006	 -0.155	-29.932	 20.268	 15.821
          3.380	  1.330	  0.079	 -0.220	-33.677	 22.433	 19.416
          3.390	  1.277	  0.120	 -0.161	-34.349	 17.949	 21.470
          3.400	  1.122	  0.176	 -0.026	-33.180	  9.279	 22.264
          3.410	  1.069	  0.176	 -0.073	-32.127	  0.434	 22.311
          3.420	  1.020	  0.132	 -0.114	-31.447	 -5.447	 21.146
          3.430	  1.014	  0.082	 -0.152	-30.241	 -7.971	 18.918
          3.440	  1.008	  0.056	 -0.149	-28.569	 -7.299	 16.454
